Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate
37000,1708.5,599.4,3210.165,-154,,-431.8,1067.56005,,360,,,30640.17495,0.171887164,0.4154264
38000,1759.5,615.6,3350.085,-154,,-381.8,1214.66645,,420,,,31175.94855,0.179580301,0.4642264
39000,1810.5,631.8,3490.005,-154,,-331.8,1311.77285,,450,,,31791.72215,0.184827637,0.3842264
40000,1861.5,648,3629.925,-154,,-281.8,1358.87925,0,450,,,32487.49575,0.187812606,0.3042264
41000,1912.5,664.2,3769.845,-154,,-231.8,1405.98565,,450,,,33183.26935,0.190651967,0.3042264
42000,1963.5,680.4,3909.765,-154,,-181.8,1453.09205,,450,,,33879.04295,0.19335612,0.3042264
43000,2014.5,696.6,4049.685,-154,,-131.8,1500.19845,,450,,,34574.81655,0.195934499,0.3042264
44000,2065.5,712.8,4189.605,-154,,-81.8,1551.15585,,450,,,35266.73915,0.198483201,0.3080774
45000,2116.5,729,4329.525,-154,,-31.8,1639.26225,,450,,,35921.51275,0.201744161,0.3452264
46000,2167.5,745.2,4469.445,-154,,0,1727.36865,,450,,,36594.48635,0.204467688,0.3270264
47000,2218.5,761.4,4609.365,-154,,0,1815.47505,,450,,,37299.25995,0.206398724,0.2952264
48000,2269.5,777.6,4770.135,-154,,0,1903.58145,,450,,,37983.18355,0.208683676,0.3160764
49000,2320.5,793.8,4965.055,-154,,0,1991.68785,,600,,,38482.95715,0.214633528,0.5002264
50000,2371.5,810,5159.975,-154,,0,2079.79425,0,600,,,39132.73075,0.217345385,0.3502264
51000,2422.5,826.2,5354.895,-154,,,2167.90065,,600,,,39782.50435,0.219950895,0.3502264
52000,2473.5,842.4,5549.815,-154,,,2256.00705,,600,,,40432.27795,0.222456193,0.3502264
53000,2524.5,858.6,5744.735,-154,,,2344.11345,,600,,,41082.05155,0.224866952,0.3502264
54000,2575.5,860.22,5941.842,-154,,,2432.95614,,600,,,41743.48186,0.226972558,0.33856969
55000,2626.5,860.22,6139.192,-154,,,2521.88064,,600,,,42406.20736,0.228978048,0.3372745
56000,2677.5,860.22,6336.542,-154,,,2610.80514,,600,,,43068.93286,0.230911913,0.3372745
57000,2728.5,860.22,6533.892,-154,,,2699.72964,,600,,,43731.65836,0.232777924,0.3372745
58000,2748.9,860.22,6735.832,-154,,,2790.19944,,600,,,44418.84856,0.234157783,0.3128098
59000,2748.9,860.22,6940.832,-154,,,2881.69944,,600,,,45122.34856,0.235214431,0.2965
60000,2748.9,860.22,7145.832,-154,,,2973.19944,0,600,,,45825.84856,0.236235857,0.2965
61000,2748.9,860.22,7350.832,-154,,,3064.69944,,600,,,46529.34856,0.237223794,0.2965
62000,2748.9,860.22,7555.832,-154,,,3156.19944,,600,,,47232.84856,0.238179862,0.2965
63000,2748.9,860.22,7760.832,-154,,,3247.69944,0,600,,,47936.34856,0.239105578,0.2965
64000,2748.9,860.22,7965.832,-154,,,3339.19944,,600,,,48639.84856,0.240002366,0.2965
65000,2748.9,860.22,8170.832,-154,,,3430.69944,,600,,,49343.34856,0.240871561,0.2965
66000,2748.9,860.22,8375.832,-154,,,3522.19944,0,600,,,50046.84856,0.241714416,0.2965
67000,2748.9,860.22,8580.832,-154,,,3613.69944,,600,,,50750.34856,0.242532111,0.2965
68000,2748.9,860.22,8785.832,-154,,,3705.19944,,600,,,51453.84856,0.243325756,0.2965
69000,2748.9,860.22,8990.832,-154,,,3796.69944,0,600,,,52157.34856,0.244096398,0.2965
70000,2748.9,860.22,9195.832,-154,,,3888.19944,0,600,,,52860.84856,0.244845021,0.2965
71000,2748.9,860.22,9400.832,-154,,,3979.69944,,600,,,53564.34856,0.245572555,0.2965
72000,2748.9,860.22,9605.832,-154,,,4071.19944,0,600,,,54267.84856,0.246279881,0.2965
73000,2748.9,860.22,9810.832,-154,,,4162.69944,0,700,,,54871.34856,0.248337691,0.3965
74000,2748.9,860.22,10015.832,-154,,,4254.19944,,750,,,55524.84856,0.249664209,0.3465
75000,2748.9,860.22,10220.832,-154,,,4345.69944,0,750,,,56228.34856,0.250288686,0.2965
76000,2748.9,860.22,10425.832,-154,,,4437.19944,0,750,,,56931.84856,0.250896729,0.2965
77000,2748.9,860.22,10630.832,-154,,,4528.69944,,750,,,57635.34856,0.25148898,0.2965
78000,2748.9,860.22,10835.832,-154,,,4620.19944,0,750,,,58338.84856,0.252066044,0.2965
79000,2748.9,860.22,11040.832,-154,,,4711.69944,0,750,,,59042.34856,0.252628499,0.2965
80000,2748.9,860.22,11245.832,-154,,,4803.19944,12.639888,750,,,59733.20867,0.253334892,0.309139888
81000,2748.9,860.22,11450.832,-154,,,4894.69944,30.939888,750,,,60418.40867,0.25409372,0.3148
82000,2748.9,860.22,11655.832,-154,,,4986.19944,49.239888,750,,,61103.60867,0.254834041,0.3148
83000,2748.9,860.22,11860.832,-154,,,5077.69944,67.539888,750,,,61788.80867,0.255556522,0.3148
84000,2748.9,860.22,12065.832,-154,,,5169.19944,85.839888,750,,,62474.00867,0.256261802,0.3148
85000,2748.9,860.22,12270.832,-154,,,5260.69944,104.139888,750,,,63159.20867,0.256950486,0.3148
