Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
92000,2748.9,860.22,11895.482,-307,,,5531.61514,158.323028,750,,,,-6712.622,77075.08183,0.162227371,0.39592
93000,2748.9,860.22,12100.482,-307,,,5643.21514,180.643028,750,,,,-6655.622,77679.16183,0.164740195,0.39592
94000,2748.9,860.22,12305.482,-307,,,5754.81514,202.963028,750,,,,-6598.622,78283.24183,0.167199555,0.39592
95000,2748.9,860.22,12510.482,-307,,,5866.41514,225.283028,750,,,,-6541.622,78887.32183,0.169607139,0.39592
96000,2748.9,860.22,12755.292,-307,,,5978.01514,247.603028,750,,,,-6484.622,79451.59183,0.172379252,0.43573
97000,2748.9,860.22,13015.292,-307,,,6089.61514,278.0644784,750,,,,-6427.622,79992.53038,0.175334738,0.45906145
98000,2748.9,860.22,13275.292,-307,,,6201.21514,340.5604784,750,,,,-6370.622,80501.43438,0.178556792,0.491096
99000,2748.9,860.22,13535.292,-307,,,6312.81514,403.0564784,750,,,,-6313.622,81010.33838,0.181713754,0.491096
100000,2748.9,860.22,13795.292,-307,,,6424.41514,465.5524784,750,,,,-6256.622,81519.24238,0.184807576,0.491096
110000,2748.9,860.22,16395.292,-307,,,7540.41514,1090.512478,750,,,,-5686.622,86608.28238,0.212651978,0.491096
120000,2748.9,860.22,18995.292,-307,,,8656.41514,1715.472478,750,,,,-5116.622,91697.32238,0.235855647,0.491096
130000,2748.9,860.22,21595.292,-307,,,9772.41514,2340.432478,750,,,,-4546.622,96786.36238,0.25548952,0.491096
140000,2748.9,860.22,24195.292,-307,,,10888.41514,2965.392478,750,,,,-3976.622,101875.4024,0.272318554,0.491096
150000,2748.9,860.22,26866.202,-307,,,12004.41514,3590.352478,750,,,,-3406.622,106893.5324,0.287376451,0.498187
160000,2748.9,860.22,29766.202,-307,,,13220.41594,4271.312926,750,,,,-2836.622,111526.5711,0.30295893,0.536696125
