Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
90000,2748.9,860.22,11485.482,-383,,,5308.41514,113.683028,750,,,-125.2,-15530.74,84772.23983,0.058086224,0.51392
91000,2748.9,860.22,11690.482,-383,,,5420.01514,136.003028,750,,,-45.2,-15435.74,85258.31983,0.063095386,0.51392
92000,2748.9,860.22,11895.482,-383,,,5531.61514,158.323028,750,,,,-15340.74,85779.19983,0.067617393,0.47912
93000,2748.9,860.22,12100.482,-383,,,5643.21514,180.643028,750,,,,-15245.74,86345.27983,0.071556131,0.43392
94000,2748.9,860.22,12305.482,-383,,,5754.81514,202.963028,750,,,,-15150.74,86911.35983,0.075411066,0.43392
95000,2748.9,860.22,12510.482,-383,,,5866.41514,225.283028,750,,,,-15055.74,87477.43983,0.079184844,0.43392
96000,2748.9,860.22,12755.292,-383,,,5978.01514,247.603028,750,,,,-14960.74,88003.70983,0.083294689,0.47373
97000,2748.9,860.22,13015.292,-383,,,6089.61514,278.0644784,750,,,,-14865.74,88506.64838,0.087560326,0.49706145
98000,2748.9,860.22,13275.292,-383,,,6201.21514,340.5604784,750,,,,-14770.74,88977.55238,0.092065792,0.529096
99000,2748.9,860.22,13535.292,-383,,,6312.81514,403.0564784,750,,,,-14675.74,89448.45638,0.096480239,0.529096
100000,2748.9,860.22,13795.292,-383,,,6424.41514,465.5524784,750,,,,-14580.74,89919.36038,0.100806396,0.529096
110000,2748.9,860.22,16395.292,-383,,,7540.41514,1090.512478,750,,,,-13630.74,94628.40038,0.139741815,0.529096
120000,2748.9,860.22,18995.292,-383,,,8656.41514,1715.472478,750,,,,-12680.74,99337.44038,0.172187997,0.529096
130000,2748.9,860.22,21595.292,-383,,,9772.41514,2340.432478,750,,,,-11730.74,104046.4804,0.199642459,0.529096
140000,2748.9,860.22,24195.292,-383,,,10888.41514,2965.392478,750,,,,-10780.74,108755.5204,0.223174854,0.529096
150000,2748.9,860.22,26866.202,-383,,,12004.41514,3590.352478,750,,,,-9830.74,113393.6504,0.244042331,0.536187
160000,2748.9,860.22,29766.202,-383,,,13220.41594,4271.312926,750,,,,-8880.74,117646.6891,0.264708193,0.574696125
170000,2748.9,860.22,32666.202,-383,,,14436.41594,4952.272926,750,,,,-7930.74,121899.7291,0.28294277,0.574696
180000,2748.9,860.22,35566.202,-383,,,15652.41594,5633.232926,750,,,,-6980.74,126152.7691,0.299151283,0.574696
190000,2748.9,860.22,38466.202,-383,,,16868.41594,6314.192926,750,,,,-6030.74,130405.8091,0.313653636,0.574696
200000,2748.9,860.22,41366.202,-383,,,18084.41594,6995.152926,750,,,,-5080.74,134658.8491,0.326705754,0.574696
210000,2748.9,860.22,44266.202,-383,,,19300.41594,7676.112926,900,,,,-4130.74,138761.8891,0.339229099,0.589696
220000,2748.9,860.22,47551.202,-383,,,20516.41594,8357.072926,900,,,,-3180.74,142629.9291,0.35168214,0.613196
