Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate,Type,Rate of Change,OCB,CCB
78000,2748.9,860.22,10835.832,-154,0,0,4620.19944,0,750,0,0,58338.84856,0.252066044,0.2965,Single No Kids,703.5,,
79000,2748.9,860.22,11040.832,-154,0,0,4711.69944,0,750,0,0,59042.34856,0.252628499,0.2965,Single No Kids,703.5,,
80000,2748.9,860.22,11245.832,-154,0,0,4803.19944,12.639888,750,0,0,59733.20867,0.253334892,0.309139888,Single No Kids,690.86011,,
81000,2748.9,860.22,11450.832,-154,0,0,4894.69944,30.939888,750,0,0,60418.40867,0.25409372,0.3148,Single No Kids,685.2,,
82000,2748.9,860.22,11655.832,-154,0,0,4986.19944,49.239888,750,0,0,61103.60867,0.254834041,0.3148,Single No Kids,685.2,,
83000,2748.9,860.22,11860.832,-154,0,0,5077.69944,67.539888,750,0,0,61788.80867,0.255556522,0.3148,Single No Kids,685.2,,
84000,2748.9,860.22,12065.832,-154,0,0,5169.19944,85.839888,750,0,0,62474.00867,0.256261802,0.3148,Single No Kids,685.2,,
85000,2748.9,860.22,12270.832,-154,0,0,5260.69944,104.139888,750,0,0,63159.20867,0.256950486,0.3148,Single No Kids,685.2,,
86000,2748.9,860.22,12475.832,-154,0,0,5352.19944,122.439888,750,0,0,63844.40867,0.257623155,0.3148,Single No Kids,685.2,,
87000,2748.9,860.22,12680.832,-154,0,0,5443.69944,140.739888,750,0,0,64529.60867,0.25828036,0.3148,Single No Kids,685.2,,
88000,2748.9,860.22,12885.832,-154,0,0,5538.95764,159.791528,750,0,0,65210.29883,0.258973877,0.31930984,Single No Kids,680.69016,,
89000,2748.9,860.22,13090.832,-154,0,0,5650.55764,182.111528,750,0,0,65871.37883,0.259872148,0.33892,Single No Kids,661.08,,
90000,2748.9,860.22,13295.832,-154,0,0,5762.15764,204.431528,750,0,0,66532.45883,0.260750457,0.33892,Single No Kids,661.08,,
91000,2748.9,860.22,13500.832,-154,0,0,5873.75764,226.751528,750,0,0,67193.53883,0.261609463,0.33892,Single No Kids,661.08,,
92000,2748.9,860.22,13705.832,-154,0,0,5985.35764,249.071528,750,0,0,67854.61883,0.262449795,0.33892,Single No Kids,661.08,,
93000,2748.9,860.22,13910.832,-154,0,0,6096.95764,282.1762784,750,0,0,68504.91408,0.263388021,0.34970475,Single No Kids,650.29525,,
94000,2748.9,860.22,14115.832,-154,0,0,6208.55764,344.6722784,750,0,0,69125.81808,0.264618957,0.379096,Single No Kids,620.904,,
95000,2748.9,860.22,14320.832,-154,0,0,6320.15764,407.1682784,750,0,0,69746.72208,0.265823978,0.379096,Single No Kids,620.904,,
96000,2748.9,860.22,14565.642,-154,0,0,6431.75764,469.6642784,750,0,0,70327.81608,0.267418582,0.418906,Single No Kids,581.094,,
97000,2748.9,860.22,14825.642,-154,0,0,6543.35764,532.1602784,750,0,0,70893.72008,0.269136906,0.434096,Single No Kids,565.904,,
98000,2748.9,860.22,15085.642,-154,0,0,6654.95764,594.6562784,750,0,0,71459.62408,0.270820162,0.434096,Single No Kids,565.904,,
99000,2748.9,860.22,15345.642,-154,0,0,6766.55764,657.1522784,750,0,0,72025.52808,0.272469413,0.434096,Single No Kids,565.904,,
100000,2748.9,860.22,15605.642,-154,0,0,6878.15764,719.6482784,750,0,0,72591.43208,0.274085679,0.434096,Single No Kids,565.904,,
110000,2748.9,860.22,18205.642,-154,0,0,7994.15764,1344.608278,750,0,0,78250.47208,0.288632072,0.434096,Single No Kids,565.904,,
120000,2748.9,860.22,20805.642,-154,0,0,9110.15764,1969.568278,750,0,0,83909.51208,0.300754066,0.434096,Single No Kids,565.904,,
130000,2748.9,860.22,23405.642,-154,0,0,10226.15764,2594.528278,750,0,0,89568.55208,0.311011138,0.434096,Single No Kids,565.904,,
